transaction_id,timestamp,payment_gateway,payment_mode,card_network,issuing_bank,amount,outcome,merchant_id,merchant_category,failure_reason,device_type,state
txn_00000012,2024-12-31 13:25:55,razorpay,netbanking,,PNB,3439.08,0,m_0045,gaming,timeout,desktop,DL
txn_00000037,2024-12-31 14:19:55,payu,upi,,AXIS,301.11,0,m_0030,travel,bank_error,mobile_app,WB
txn_00000066,2024-12-31 14:22:33,cashfree,card,mastercard,HDFC,821.03,1,m_0012,utilities,,mobile_app,MH
txn_00000058,2024-12-31 15:05:16,payu,card,rupay,HDFC,91.51,1,m_0022,ecomm,,mobile_app,UP
txn_00000010,2024-12-31 15:21:36,razorpay,upi,,KOTAK,2096.59,0,m_0031,travel,timeout,mobile_web,UP
txn_00000020,2024-12-31 15:43:12,razorpay,upi,,SBI,5652.73,1,m_0037,travel,,desktop,RJ
txn_00000119,2024-12-31 16:17:02,cashfree,upi,,HDFC,2560.21,1,m_0025,utilities,,mobile_app,RJ
txn_00000095,2024-12-31 16:25:12,cashfree,upi,,IDBI,8257.18,1,m_0032,gaming,,mobile_app,UP
txn_00000138,2024-12-31 16:58:04,razorpay,card,visa,IDBI,6625.96,1,m_0044,food,,mobile_web,WB
txn_00000059,2024-12-31 18:07:26,razorpay,upi,,SBI,99.02,1,m_0043,food,,mobile_app,UP
txn_00000005,2024-12-31 18:10:48,cashfree,card,mastercard,PNB,1205.04,0,m_0003,travel,gateway_error,mobile_app,KA
txn_00000038,2024-12-31 18:22:04,razorpay,card,visa,BOB,648.71,0,m_0012,ecomm,bank_error,mobile_web,RJ
txn_00000118,2024-12-31 19:14:52,cashfree,card,amex,HDFC,1044.72,1,m_0011,gaming,,mobile_app,GJ
txn_00000210,2024-12-31 19:33:36,razorpay,card,rupay,KOTAK,3347.15,1,m_0002,travel,,mobile_web,WB
txn_00000100,2024-12-31 19:36:00,cashfree,upi,,IDBI,9162.4,1,m_0028,ecomm,,mobile_app,RJ
txn_00000131,2024-12-31 19:42:57,payu,card,rupay,IDBI,227.33,1,m_0034,utilities,,desktop,GJ
txn_00000132,2024-12-31 19:45:07,payu,card,amex,PNB,2207.96,1,m_0026,gaming,,mobile_web,UP
txn_00000011,2024-12-31 20:23:45,payu,netbanking,,IDBI,231.64,1,m_0040,gaming,,mobile_app,GJ
txn_00000104,2024-12-31 20:44:38,razorpay,netbanking,,IDBI,407.52,0,m_0027,utilities,gateway_error,desktop,RJ
txn_00000021,2024-12-31 20:45:21,cashfree,upi,,SBI,1320.7,1,m_0036,utilities,,desktop,WB
txn_00000218,2024-12-31 20:50:52,razorpay,upi,,HDFC,1351.41,1,m_0004,ecomm,,mobile_web,TN
txn_00000004,2024-12-31 21:08:38,payu,card,rupay,IDBI,375.59,1,m_0047,ecomm,,mobile_app,RJ
txn_00000015,2024-12-31 21:32:24,cashfree,netbanking,,HDFC,2632.26,0,m_0009,utilities,gateway_error,mobile_app,TN
txn_00000048,2024-12-31 21:43:40,razorpay,upi,,PNB,61.54,0,m_0029,ecomm,bank_error,desktop,DL
txn_00000028,2024-12-31 22:00:28,razorpay,upi,,KOTAK,167.73,1,m_0003,ecomm,,mobile_app,KA
txn_00000029,2024-12-31 22:02:38,payu,upi,,SBI,838.12,1,m_0049,utilities,,mobile_app,DL
txn_00000197,2024-12-31 22:05:31,cashfree,card,rupay,SBI,604.99,1,m_0020,utilities,,mobile_app,TN
txn_00000122,2024-12-31 22:23:31,cashfree,upi,,IDBI,321.39,1,m_0014,utilities,,desktop,UP
txn_00000074,2024-12-31 22:39:50,cashfree,card,rupay,SBI,4292.93,1,m_0012,food,,mobile_web,GJ
txn_00000102,2024-12-31 22:40:19,razorpay,netbanking,,IDBI,3234.01,0,m_0045,gaming,gateway_error,mobile_web,RJ
txn_00000052,2024-12-31 22:52:19,payu,netbanking,,BOB,2977.06,1,m_0022,food,,desktop,GJ
txn_00000248,2024-12-31 22:55:40,cashfree,card,visa,PNB,2068.13,1,m_0025,gaming,,desktop,WB
txn_00000054,2024-12-31 22:56:38,razorpay,card,rupay,BOB,2985.19,1,m_0026,utilities,,mobile_web,KA
txn_00000002,2024-12-31 23:04:19,razorpay,card,visa,BOB,52.0,1,m_0012,ecomm,,mobile_app,TN
txn_00000003,2024-12-31 23:06:28,payu,card,mastercard,HDFC,17.73,1,m_0027,food,,mobile_web,TN
txn_00000033,2024-12-31 23:11:16,razorpay,card,mastercard,SBI,1918.46,1,m_0033,ecomm,,mobile_web,MH
txn_00000182,2024-12-31 23:33:07,razorpay,upi,,BOB,500.51,1,m_0047,ecomm,,mobile_web,DL
txn_00000017,2024-12-31 23:36:43,cashfree,card,mastercard,ICICI,803.0,1,m_0035,travel,,desktop,UP
txn_00000077,2024-12-31 23:46:19,cashfree,card,visa,PNB,2951.38,1,m_0011,utilities,,desktop,TN
txn_00000272,2024-12-31 23:47:31,payu,card,visa,PNB,1959.32,1,m_0034,gaming,,mobile_app,GJ
txn_00000300,2024-12-31 23:48:00,payu,card,visa,ICICI,1196.78,1,m_0035,food,,mobile_web,KA
txn_00000245,2024-12-31 23:49:12,razorpay,card,mastercard,HDFC,623.62,1,m_0014,food,,mobile_app,KA
txn_00000060,2025-01-01 00:09:36,payu,upi,,KOTAK,1846.63,1,m_0004,travel,,desktop,GJ
txn_00000006,2025-01-01 00:12:57,razorpay,netbanking,,BOB,2850.99,0,m_0014,gaming,gateway_error,desktop,UP
txn_00000050,2025-01-01 00:48:00,payu,netbanking,,SBI,1397.35,1,m_0023,travel,,mobile_web,KA
txn_00000078,2025-01-01 00:48:28,razorpay,netbanking,,KOTAK,3320.73,1,m_0009,utilities,,mobile_app,TN
txn_00000246,2025-01-01 00:51:21,cashfree,upi,,KOTAK,351.99,1,m_0038,utilities,,mobile_web,WB
txn_00000025,2025-01-01 00:54:00,payu,upi,,ICICI,4259.57,1,m_0039,ecomm,,desktop,UP
txn_00000031,2025-01-01 01:06:57,payu,card,amex,KOTAK,1484.54,1,m_0004,travel,,desktop,TN
txn_00000007,2025-01-01 01:15:07,payu,netbanking,,HDFC,908.22,1,m_0020,utilities,,desktop,KA
txn_00000313,2025-01-01 01:16:04,razorpay,card,amex,BOB,4275.76,0,m_0009,food,declined,desktop,UP
txn_00000230,2025-01-01 01:16:48,cashfree,upi,,BOB,2833.13,1,m_0019,ecomm,,mobile_web,RJ
txn_00000120,2025-01-01 01:19:12,payu,netbanking,,PNB,1605.95,1,m_0019,utilities,,desktop,DL
txn_00000070,2025-01-01 01:31:12,payu,upi,,ICICI,2391.81,1,m_0019,gaming,,mobile_web,TN
txn_00000016,2025-01-01 01:34:33,razorpay,card,amex,PNB,1004.55,1,m_0035,utilities,,desktop,WB
txn_00000128,2025-01-01 01:36:28,payu,netbanking,,IDBI,1092.96,1,m_0028,travel,,desktop,WB
txn_00000184,2025-01-01 01:37:26,cashfree,card,amex,PNB,780.15,1,m_0034,travel,,mobile_app,RJ
txn_00000357,2025-01-01 01:51:07,cashfree,upi,,ICICI,4999.92,1,m_0018,gaming,,mobile_web,GJ
txn_00000108,2025-01-01 01:53:16,cashfree,upi,,KOTAK,689.66,1,m_0004,gaming,,mobile_app,WB
txn_00000109,2025-01-01 01:55:26,cashfree,upi,,PNB,2784.57,1,m_0028,utilities,,mobile_web,RJ
txn_00000137,2025-01-01 01:55:55,payu,upi,,HDFC,9228.92,1,m_0038,gaming,,desktop,DL
txn_00000082,2025-01-01 01:57:07,cashfree,netbanking,,AXIS,1759.27,0,m_0049,utilities,declined,desktop,UP
txn_00000249,2025-01-01 01:57:50,razorpay,netbanking,,KOTAK,3746.94,1,m_0046,travel,,mobile_web,MH
txn_00000027,2025-01-01 01:58:19,cashfree,netbanking,,PNB,975.96,1,m_0041,ecomm,,mobile_app,GJ
txn_00000141,2025-01-01 02:04:33,payu,card,visa,SBI,6721.15,1,m_0003,travel,,mobile_app,UP
txn_00000030,2025-01-01 02:04:48,payu,netbanking,,ICICI,1323.48,1,m_0002,utilities,,desktop,DL
txn_00000094,2025-01-01 02:23:02,payu,card,amex,IDBI,677.9,1,m_0033,food,,mobile_web,DL
txn_00000179,2025-01-01 02:26:38,cashfree,netbanking,,SBI,11213.76,1,m_0046,food,,mobile_web,GJ
txn_00000068,2025-01-01 02:26:52,cashfree,upi,,SBI,117.74,1,m_0048,food,,mobile_web,DL
txn_00000180,2025-01-01 02:28:48,payu,netbanking,,IDBI,1265.36,1,m_0048,ecomm,,desktop,KA
txn_00000239,2025-01-01 02:36:14,payu,card,visa,BOB,477.16,1,m_0004,food,,desktop,UP
txn_00000157,2025-01-01 02:39:07,razorpay,card,amex,KOTAK,2083.95,1,m_0027,utilities,,mobile_app,WB
txn_00000407,2025-01-01 02:39:07,razorpay,card,visa,PNB,225.97,1,m_0032,ecomm,,desktop,TN
txn_00000244,2025-01-01 02:47:02,cashfree,card,rupay,PNB,1476.04,1,m_0029,food,,desktop,KA
