transaction_id,timestamp,payment_gateway,payment_mode,card_network,issuing_bank,amount,outcome,merchant_id,merchant_category,failure_reason,device_type,state
txn_00000012,2024-12-31 14:43:40,razorpay,netbanking,,PNB,3439.08,0,m_0045,gaming,timeout,desktop,DL
txn_00000010,2024-12-31 16:26:24,razorpay,upi,,KOTAK,2096.59,0,m_0031,travel,timeout,mobile_web,UP
txn_00000020,2024-12-31 17:52:48,razorpay,upi,,SBI,5652.73,1,m_0037,travel,,desktop,RJ
txn_00000037,2024-12-31 18:19:40,payu,upi,,AXIS,301.11,0,m_0030,travel,bank_error,mobile_app,WB
txn_00000005,2024-12-31 18:43:12,cashfree,card,mastercard,PNB,1205.04,0,m_0003,travel,gateway_error,mobile_app,KA
txn_00000058,2024-12-31 21:21:07,payu,card,rupay,HDFC,91.51,1,m_0022,ecomm,,mobile_app,UP
txn_00000066,2024-12-31 21:30:14,cashfree,card,mastercard,HDFC,821.03,1,m_0012,utilities,,mobile_app,MH
txn_00000004,2024-12-31 21:34:33,payu,card,rupay,IDBI,375.59,1,m_0047,ecomm,,mobile_app,RJ
txn_00000011,2024-12-31 21:35:02,payu,netbanking,,IDBI,231.64,1,m_0040,gaming,,mobile_app,GJ
txn_00000038,2024-12-31 22:28:19,razorpay,card,visa,BOB,648.71,0,m_0012,ecomm,bank_error,mobile_web,RJ
txn_00000021,2024-12-31 23:01:26,cashfree,upi,,SBI,1320.7,1,m_0036,utilities,,desktop,WB
txn_00000015,2024-12-31 23:09:36,cashfree,netbanking,,HDFC,2632.26,0,m_0009,utilities,gateway_error,mobile_app,TN
txn_00000002,2024-12-31 23:17:16,razorpay,card,visa,BOB,52.0,1,m_0012,ecomm,,mobile_app,TN
txn_00000003,2024-12-31 23:25:55,payu,card,mastercard,HDFC,17.73,1,m_0027,food,,mobile_web,TN
txn_00000059,2025-01-01 00:29:45,razorpay,upi,,SBI,99.02,1,m_0043,food,,mobile_app,UP
txn_00000006,2025-01-01 00:51:50,razorpay,netbanking,,BOB,2850.99,0,m_0014,gaming,gateway_error,desktop,UP
txn_00000028,2025-01-01 01:01:55,razorpay,upi,,KOTAK,167.73,1,m_0003,ecomm,,mobile_app,KA
txn_00000029,2025-01-01 01:10:33,payu,upi,,SBI,838.12,1,m_0049,utilities,,mobile_app,DL
txn_00000017,2025-01-01 01:26:52,cashfree,card,mastercard,ICICI,803.0,1,m_0035,travel,,desktop,UP
txn_00000007,2025-01-01 02:00:28,payu,netbanking,,HDFC,908.22,1,m_0020,utilities,,desktop,KA
txn_00000095,2025-01-01 02:40:48,cashfree,upi,,IDBI,8257.18,1,m_0032,gaming,,mobile_app,UP
txn_00000033,2025-01-01 02:45:07,razorpay,card,mastercard,SBI,1918.46,1,m_0033,ecomm,,mobile_web,MH
txn_00000048,2025-01-01 02:54:43,razorpay,upi,,PNB,61.54,0,m_0029,ecomm,bank_error,desktop,DL
txn_00000016,2025-01-01 03:18:14,razorpay,card,amex,PNB,1004.55,1,m_0035,utilities,,desktop,WB
txn_00000025,2025-01-01 03:36:00,payu,upi,,ICICI,4259.57,1,m_0039,ecomm,,desktop,UP
txn_00000009,2025-01-01 04:17:45,payu,upi,,AXIS,2715.64,1,m_0006,ecomm,,mobile_app,TN
txn_00000031,2025-01-01 04:27:50,payu,card,amex,KOTAK,1484.54,1,m_0004,travel,,desktop,TN
txn_00000052,2025-01-01 04:29:16,payu,netbanking,,BOB,2977.06,1,m_0022,food,,desktop,GJ
txn_00000054,2025-01-01 04:46:33,razorpay,card,rupay,BOB,2985.19,1,m_0026,utilities,,mobile_web,KA
txn_00000027,2025-01-01 04:53:16,cashfree,netbanking,,PNB,975.96,1,m_0041,ecomm,,mobile_app,GJ
txn_00000000,2025-01-01 05:00:00,razorpay,upi,,SBI,7525.3,1,m_0019,gaming,,mobile_app,TN
txn_00000119,2025-01-01 05:08:09,cashfree,upi,,HDFC,2560.21,1,m_0025,utilities,,mobile_app,RJ
txn_00000030,2025-01-01 05:19:12,payu,netbanking,,ICICI,1323.48,1,m_0002,utilities,,desktop,DL
txn_00000018,2025-01-01 05:35:31,payu,upi,,BOB,3122.82,1,m_0039,utilities,,mobile_web,TN
txn_00000050,2025-01-01 06:12:00,payu,netbanking,,SBI,1397.35,1,m_0023,travel,,mobile_web,KA
txn_00000023,2025-01-01 06:18:43,payu,card,rupay,KOTAK,616.16,1,m_0011,ecomm,,mobile_web,RJ
txn_00000100,2025-01-01 06:24:00,cashfree,upi,,IDBI,9162.4,1,m_0028,ecomm,,mobile_app,RJ
txn_00000060,2025-01-01 06:38:24,payu,upi,,KOTAK,1846.63,1,m_0004,travel,,desktop,GJ
txn_00000074,2025-01-01 06:39:21,cashfree,card,rupay,SBI,4292.93,1,m_0012,food,,mobile_web,GJ
txn_00000014,2025-01-01 07:00:57,payu,upi,,AXIS,1255.83,1,m_0005,gaming,,mobile_app,TN
